"filename", "language", "Markdown", "JSON", "C++", "YAML", "C", "Ignore", "Python", "XML", "Makefile", "CMake", "SVG", "HTML", "CSS", "Ruby", "SCSS", "JavaScript React", "TypeScript", "JavaScript", "Go", "Rust", "Java", "C#", "PHP", "Less", "CoffeeScript", "TypeScript React", "SQL", "JSON with Comments", "GLSL", "Shell Script", "Batch", "CUDA C++", "Properties", "pip requirements", "Jinja", "Objective-C", "Lua", "LaTeX", "BibTeX", "Protocol Buffers", "Objective-C++", "Gradle", "Kotlin", "comment", "blank", "total"
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\animation\Animation.h", "C++", 0, 0, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 61, 458
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\animation\AnimationManager.h", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 65
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\animation\Axis.h", "C++", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\animation\Shapes.h", "C++", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 55
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\animation\SvgFileObject.h", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\animation\TextAnimations.h", "C++", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 74
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\audio\Audio.h", "C++", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\audio\WavLoader.h", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\core.h", "C++", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30, 190
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\core\Application.h", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 61
